time,x,y,
1728370316.0080607,-889,115
1728370325.6987677,-516,230
1728370327.1910303,-1113,141
1728370329.7333426,-1134,136
1728370330.8057158,-1134,136
1728370332.8008354,-1809,1013
1728370334.827761,1017,1027
1728370336.3956945,441,123
1728370338.8100843,1030,360
1728370343.303278,1210,990
1728370348.8924508,-1587,65
1728370355.0276608,-1585,65
1728370355.4166617,-1561,60
1728370355.9036574,-1561,59
1728370365.6451945,-1128,114
1728370367.7896636,-1282,139
1728370370.0105133,-1008,335
1728370375.9658875,-976,405
1728370380.1206672,-903,488
1728370384.1555753,-980,573
1728370392.3387136,-931,784
1728370397.5966694,-1344,146
1728370404.6557844,-1220,229
1728370407.278834,-155,243
1728370409.8373091,-811,581
1728370413.0088892,-1130,518
1728370415.124649,-1617,513
1728370415.4549277,-1625,507
1728370419.5947642,-707,696
1728370424.3570404,-795,664
1728370424.9955752,-408,444
1728370425.5427792,-1040,139
1728370427.0053148,-1703,245
1728370429.4198372,-1190,136
1728370433.466593,1701,78
1728370434.5534384,1260,171
1728370435.3927975,1269,86
1728370437.4715667,1271,74
1728370438.2580428,1523,214
