time,x,y,
1728369748.3545358,-349,174
1728369748.3631005,-349,168
1728369748.3691266,-349,163
1728369748.3781216,-350,157
1728369748.3841233,-350,145
1728369748.3931253,-349,137
1728369748.4001226,-344,128
1728369748.408121,-341,125
1728369748.4151232,-334,120
1728369748.4241233,-328,116
1728369748.4301238,-320,113
1728369748.4381237,-312,110
1728369748.445126,-305,107
1728369748.453123,-298,105
1728369748.4601257,-291,103
1728369748.4681225,-287,103
1728369748.475125,-272,102
1728369748.4831245,-254,102
1728369748.4901242,-219,102
1728369748.5011246,-179,108
1728369748.5131238,-142,114
1728369748.5151258,-96,125
1728369748.5201287,-67,131
1728369748.5291233,-27,141
1728369748.5351226,-6,143
1728369748.5431228,7,146
1728369748.550123,16,147
1728369748.5581245,21,147
1728369748.5651238,23,148
1728369748.573122,25,149
1728369748.5881233,26,149
1728369748.603122,26,150
1728369748.6101248,26,151
1728369748.6181245,26,152
1728369748.6251273,26,153
1728369748.6331234,26,154
1728369748.7301216,26,154
1728369748.775122,26,154
1728369748.7831228,25,154
1728369748.8281236,25,154
1728369748.8351252,25,154
1728369748.8581219,24,154
1728369750.8914785,23,154
1728369750.8924823,21,154
1728369750.8964806,19,154
1728369750.9034793,16,154
1728369750.9114783,13,154
1728369750.919483,8,154
1728369750.926481,-1,154
1728369750.9344842,-9,152
1728369750.9414794,-20,149
1728369750.9504814,-31,144
1728369750.956481,-42,140
1728369750.964481,-52,136
1728369750.9714808,-59,131
1728369750.9784803,-65,127
1728369750.9864812,-70,125
1728369750.9934816,-74,121
1728369751.0014799,-76,118
1728369751.0084803,-78,112
1728369751.0164828,-79,105
1728369751.0234807,-79,97
1728369751.031479,-77,88
1728369751.03848,-72,80
1728369751.04748,-64,72
1728369751.0544817,-53,66
1728369751.0614808,-39,61
1728369751.0684788,-23,57
1728369751.0764792,-8,55
1728369751.084483,10,54
1728369751.0914826,31,52
1728369751.098484,53,49
1728369751.1074805,76,46
1728369751.113479,95,43
1728369751.1214867,114,40
1728369751.1284807,133,37
1728369751.1364784,153,32
1728369751.144479,172,29
1728369751.1514785,192,26
1728369751.1584783,212,22
1728369751.1664782,232,17
1728369751.1734798,254,14
1728369751.1824827,273,11
1728369751.1884801,290,8
1728369751.1964786,305,6
1728369751.2044847,317,4
1728369751.2124803,326,3
1728369751.2194808,327,2
1728369751.226481,328,2
1728369751.2940874,327,1
