time,x,y,direction
1728370052.0268176,-1025,566,down
1728370052.041839,-1025,566,down
1728370052.0648344,-1025,566,down
1728370052.0808516,-1025,566,down
1728370052.1259823,-1025,566,down
1728370052.418813,-1028,568,down
1728370052.4343116,-1029,568,down
1728370052.4473367,-1029,568,down
1728370052.4698923,-1029,568,down
1728370052.5148933,-1029,568,down
1728370052.8069563,-1029,568,down
1728370052.8219578,-1029,568,down
1728370052.8373663,-1030,569,down
1728370052.8513627,-1030,569,down
1728370052.8966157,-1030,569,down
1728370065.7448747,-1065,798,up
1728370065.7748873,-1065,798,up
1728370065.790886,-1065,798,up
1728370065.8047543,-1065,798,up
1728370065.8275337,-1065,798,up
1728370065.857041,-1065,798,up
1728370066.0970805,-1065,798,up
1728370066.112506,-1065,798,up
1728370066.1272771,-1065,798,up
1728370066.1501803,-1065,798,up
1728370066.172266,-1065,798,up
1728370242.8962812,1095,816,up
1728370243.0311615,1095,816,up
1728370243.0601604,1094,815,up
1728370243.2783487,1094,815,down
1728370243.3008802,1094,815,down
1728370243.307886,1094,815,down
1728370243.3158824,1094,815,down
1728370243.322766,1094,815,down
1728370243.345787,1094,815,down
