time,key
1728369770.121261,'t'
1728369770.5994575,'e'
1728369770.8012435,'s'
1728369771.408877,'t'
1728369771.971596,'1'
1728369775.6618042,<97>
1728369775.8642852,<98>
1728369776.066824,<99>
1728369776.403782,<100>
1728369776.6298308,<101>
1728369776.8318083,<102>
1728369807.3429127,'c'
1728369808.9854548,'1'
1728369844.1992228,'t'
1728369844.7404215,'e'
1728369844.942606,'s'
1728369845.2122679,'t'
1728369845.7524824,'1'
1728369848.497239,<97>
1728369848.7237837,<98>
1728369848.90165,<99>
1728369849.1722221,<100>
1728369849.3755825,<101>
1728369849.55424,<102>
1728370081.359978,'t'
1728370081.5844753,'e'
1728370081.787439,'s'
1728370081.9441516,'t'
1728370082.3495412,'2'
1728370085.16362,<97>
1728370085.3415952,<98>
1728370085.523627,<99>
1728370088.1777105,<97>
1728370088.3817408,<98>
1728370088.5604749,<99>
1728370092.6726675,<97>
1728370092.7676702,<98>
1728370092.9470973,<99>
1728370099.8491812,<100>
1728370099.9912288,<101>
1728370100.194224,<102>
1728370100.7326946,<103>
1728370101.025505,<104>
1728370102.5106728,Key.shift_r
1728370102.712967,'@'
1728370103.6127396,'q'
1728370103.7701983,'q'
1728370104.7826664,'.'
1728370105.1208243,'c'
1728370105.2777433,'o'
1728370105.4350665,'m'
1728370107.2349346,Key.enter
1728370107.640778,Key.enter
1728370107.7755594,Key.enter
1728370120.8889315,'t'
1728370120.9834,'e'
1728370121.163977,'s'
1728370121.3212872,'t'
1728370122.4241462,'2'
1728370125.8667607,<97>
1728370126.046744,<98>
1728370126.22778,<99>
1728370126.5193987,<100>
1728370126.7211924,<101>
1728370126.9011636,<102>
1728370128.9943376,<97>
1728370129.1741185,<98>
1728370129.3535028,<99>
1728370129.6462755,<100>
1728370129.849347,<101>
1728370130.0522375,<102>
1728370131.8293092,'1'
1728370132.1674302,'2'
1728370132.3700073,'3'
1728370133.5837297,Key.shift_r
1728370133.786561,'@'
1728370134.5964813,'q'
1728370134.7094793,'q'
1728370135.7003038,'.'
1728370136.149285,'c'
1728370136.3517876,'o'
1728370136.532751,'m'
1728370147.804956,'t'
1728370147.962726,'e'
1728370148.1197689,'s'
1728370148.277232,'t'
1728370148.570408,'2'
1728370150.7973883,<97>
1728370151.022916,<98>
1728370151.2031333,<99>
1728370151.382903,<100>
1728370151.562903,<101>
1728370151.7425587,<102>
1728370152.034725,<103>
1728370152.2155294,<104>
1728370152.3962867,<105>
1728370154.442842,<97>
1728370154.6248488,<98>
1728370154.7802753,<99>
1728370155.004981,<100>
1728370155.1851385,<101>
1728370155.365339,<102>
1728370155.6811976,<103>
1728370155.8835325,<104>
1728370156.0631537,<105>
1728370160.855717,'1'
1728370161.0357933,'2'
1728370161.2152379,'3'
1728370163.2631245,Key.shift_r
1728370163.4658198,'@'
1728370163.9372926,'q'
1728370164.0746276,'q'
1728370165.6255012,'.'
1728370165.9407074,'c'
1728370166.1437304,'o'
1728370166.3229182,'m'
